timestamps,TP9,AF7,AF8,TP10,Right AUX
1740789302.3368323,-24.90234375,-35.64453125,-39.55078125,-34.66796875,0.0
1740789302.340738,-28.3203125,-41.015625,-41.015625,-35.64453125,0.0
1740789302.3446438,-22.94921875,-40.52734375,-43.9453125,-30.76171875,0.0
1740789302.3485498,-18.5546875,-30.76171875,-37.109375,-17.578125,0.0
1740789302.3524556,-22.94921875,-29.78515625,-34.66796875,-19.53125,0.0
1740789302.3563614,-28.80859375,-30.76171875,-44.921875,-29.78515625,0.0
1740789302.3602672,-35.64453125,-32.71484375,-50.29296875,-33.203125,0.0
1740789302.3641732,-38.0859375,-36.1328125,-53.7109375,-37.109375,0.0
1740789302.368079,-36.1328125,-42.48046875,-56.15234375,-36.1328125,0.0
1740789302.3719847,-37.59765625,-49.31640625,-56.640625,-36.1328125,0.0
1740789302.3758907,-37.59765625,-43.45703125,-57.12890625,-40.0390625,0.0
1740789302.3797965,-33.69140625,-39.55078125,-52.734375,-34.66796875,0.0
1740789302.3837059,-32.71484375,-40.52734375,-52.24609375,-33.69140625,0.0
1740789302.3876116,-36.1328125,-36.62109375,-52.24609375,-36.62109375,0.0
1740789302.3915174,-29.78515625,-30.76171875,-47.36328125,-31.25,0.0
1740789302.3954234,-25.87890625,-38.0859375,-48.33984375,-31.25,0.0
1740789302.3993292,-30.2734375,-44.921875,-45.41015625,-33.203125,0.0
1740789302.403235,-23.4375,-43.45703125,-38.0859375,-30.76171875,0.0
1740789302.407141,-16.11328125,-30.2734375,-37.59765625,-27.34375,0.0
1740789302.4110467,-15.13671875,-25.390625,-40.0390625,-21.97265625,0.0
1740789302.4149525,-24.4140625,-41.50390625,-43.45703125,-24.90234375,0.0
1740789302.4188583,-34.1796875,-39.0625,-45.41015625,-39.0625,0.0
1740789302.4227643,-27.34375,-24.90234375,-40.52734375,-43.45703125,0.0
1740789302.42667,-26.3671875,-25.390625,-38.57421875,-35.64453125,0.0
1740789302.4305792,-31.25,-31.73828125,-42.48046875,-34.1796875,0.0
1740789302.434485,-34.1796875,-43.9453125,-40.52734375,-38.57421875,0.0
