timestamps,TP9,AF7,AF8,TP10,Right AUX
1741086550.9422977,-16.6015625,-31.25,-30.76171875,-9.765625,0.0
1741086550.946203,-15.13671875,-22.94921875,-28.80859375,-11.71875,0.0
1741086550.950108,0.48828125,-17.578125,-27.34375,-12.6953125,0.0
1741086550.9540133,-10.25390625,-26.85546875,-33.203125,-13.18359375,0.0
1741086550.9579184,-20.01953125,-32.2265625,-38.57421875,-8.30078125,0.0
1741086550.9618237,-29.296875,-36.62109375,-39.55078125,-8.7890625,0.0
1741086550.965729,-39.55078125,-43.45703125,-36.62109375,-17.578125,0.0
1741086550.969634,-24.90234375,-47.36328125,-32.2265625,-16.11328125,0.0
1741086550.9735394,-6.34765625,-40.52734375,-24.4140625,-12.6953125,0.0
1741086550.9774444,-11.71875,-30.2734375,-20.5078125,-13.671875,0.0
1741086550.9813497,-28.80859375,-41.9921875,-25.87890625,-23.4375,0.0
1741086550.9852548,-25.87890625,-41.9921875,-23.92578125,-15.625,0.0
1741086550.98917,-17.578125,-27.34375,-22.4609375,-14.6484375,0.0
1741086550.9930754,-20.99609375,-29.78515625,-30.2734375,-33.69140625,0.0
1741086550.9969807,-34.1796875,-30.2734375,-34.66796875,-45.41015625,0.0
1741086551.0008857,-31.25,-28.3203125,-39.55078125,-41.50390625,0.0
1741086551.004791,-31.73828125,-35.15625,-45.8984375,-37.109375,0.0
1741086551.008696,-43.9453125,-41.015625,-42.96875,-46.875,0.0
1741086551.0126014,-57.6171875,-46.875,-44.43359375,-61.5234375,0.0
1741086551.0165064,-59.5703125,-47.36328125,-53.22265625,-63.96484375,0.0
1741086551.0204117,-46.38671875,-31.25,-50.29296875,-63.4765625,0.0
1741086551.0243168,-39.55078125,-28.80859375,-47.36328125,-56.15234375,0.0
1741086551.028222,-46.38671875,-40.0390625,-50.78125,-54.6875,0.0
1741086551.0321274,-54.6875,-39.55078125,-51.7578125,-64.453125,0.0
1741086551.0360425,-49.31640625,-36.1328125,-54.6875,-64.453125,0.0
1741086551.0399477,-45.8984375,-35.15625,-54.19921875,-59.08203125,0.0
1741086551.0438528,-56.640625,-40.0390625,-51.26953125,-67.3828125,0.0
1741086551.047758,-63.4765625,-39.55078125,-48.33984375,-72.265625,0.0
1741086551.0516632,-57.12890625,-38.57421875,-46.38671875,-63.96484375,0.0
1741086551.0555685,-51.7578125,-57.6171875,-46.875,-62.98828125,0.0
1741086551.0594735,-55.6640625,-61.5234375,-45.8984375,-63.96484375,0.0
1741086551.0633788,-70.3125,-47.8515625,-41.015625,-67.87109375,0.0
1741086551.067284,-79.58984375,-51.7578125,-41.015625,-75.68359375,0.0
1741086551.0711892,-66.89453125,-61.03515625,-47.36328125,-70.3125,0.0
1741086551.0750945,-56.640625,-52.734375,-46.875,-54.6875,0.0
1741086551.0789995,-65.91796875,-42.48046875,-45.8984375,-56.640625,0.0
1741086551.0829146,-70.3125,-40.52734375,-39.55078125,-57.12890625,0.0
1741086551.08682,-56.15234375,-40.52734375,-38.0859375,-42.48046875,0.0
1741086551.090725,-32.71484375,-41.50390625,-42.48046875,-33.69140625,0.0
1741086551.0946302,-37.109375,-42.96875,-50.29296875,-40.52734375,0.0
1741086551.0985353,-61.03515625,-49.8046875,-49.8046875,-56.15234375,0.0
1741086551.1024406,-46.38671875,-52.24609375,-42.96875,-45.8984375,0.0
1741086551.106346,-31.73828125,-55.6640625,-41.015625,-34.66796875,0.0
1741086551.110251,-53.22265625,-54.19921875,-45.41015625,-50.78125,0.0
1741086551.1141562,-65.91796875,-47.8515625,-50.78125,-63.4765625,0.0
1741086551.1180613,-61.03515625,-43.45703125,-46.875,-54.19921875,0.0
1741086551.1219666,-46.38671875,-53.7109375,-47.36328125,-38.0859375,0.0
1741086551.1258717,-41.015625,-47.36328125,-51.7578125,-31.25,0.0
1741086551.1297877,-57.12890625,-42.96875,-56.15234375,-51.26953125,0.0
1741086551.133693,-68.84765625,-50.29296875,-58.10546875,-67.3828125,0.0
1741086551.137598,-48.33984375,-43.45703125,-52.734375,-60.546875,0.0
1741086551.1415033,-14.16015625,-41.50390625,-53.7109375,-42.48046875,0.0
1741086551.1454086,-24.4140625,-40.52734375,-49.31640625,-48.828125,0.0
1741086551.1493137,-62.98828125,-47.8515625,-47.36328125,-70.3125,0.0
1741086551.153219,-58.59375,-45.8984375,-47.36328125,-60.546875,0.0
1741086551.157124,-40.0390625,-36.62109375,-38.57421875,-46.875,0.0
1741086551.1610293,-53.7109375,-45.41015625,-39.55078125,-56.15234375,0.0
1741086551.1649344,-61.03515625,-58.59375,-43.45703125,-64.453125,0.0
1741086551.1688397,-56.640625,-52.24609375,-41.9921875,-63.4765625,0.0
1741086551.1727448,-52.24609375,-29.78515625,-41.9921875,-51.26953125,0.0
1741086551.1766608,-48.828125,-31.25,-44.43359375,-47.8515625,0.0
1741086551.180566,-48.33984375,-46.38671875,-45.8984375,-60.546875,0.0
1741086551.1844711,-44.921875,-40.52734375,-40.52734375,-59.5703125,0.0
1741086551.1883764,-37.109375,-32.2265625,-40.52734375,-40.0390625,0.0
1741086551.1922815,-29.296875,-32.71484375,-41.015625,-33.69140625,0.0
1741086551.1961868,-41.015625,-43.9453125,-38.0859375,-43.45703125,0.0
1741086551.200092,-52.24609375,-46.38671875,-35.15625,-50.78125,0.0
1741086551.2039971,-40.52734375,-33.69140625,-32.71484375,-38.0859375,0.0
1741086551.2079024,-32.71484375,-39.0625,-33.203125,-20.99609375,0.0
1741086551.2118075,-41.50390625,-51.26953125,-33.203125,-30.76171875,0.0
1741086551.2157128,-55.6640625,-46.38671875,-28.80859375,-43.9453125,0.0
1741086551.2196178,-55.6640625,-41.50390625,-20.01953125,-28.80859375,0.0
1741086551.2235336,-34.1796875,-36.1328125,-19.53125,-4.8828125,0.0
1741086551.227439,-30.76171875,-31.73828125,-24.90234375,-9.765625,0.0
1741086551.231344,-44.43359375,-31.73828125,-24.90234375,-21.484375,0.0
1741086551.2352493,-45.8984375,-35.64453125,-29.296875,-13.671875,0.0
1741086551.2391546,-37.59765625,-42.96875,-34.66796875,-4.39453125,0.0
1741086551.2430596,-39.55078125,-36.62109375,-30.76171875,-10.25390625,0.0
1741086551.246965,-51.26953125,-29.296875,-28.3203125,-27.34375,0.0
1741086551.25087,-56.640625,-41.50390625,-39.55078125,-40.0390625,0.0
1741086551.2547753,-40.52734375,-52.24609375,-43.45703125,-35.15625,0.0
1741086551.2586803,-37.59765625,-32.2265625,-33.69140625,-28.80859375,0.0
1741086551.2625856,-51.7578125,-32.2265625,-34.1796875,-44.43359375,0.0
1741086551.2664907,-56.640625,-52.24609375,-37.109375,-57.12890625,0.0
1741086551.2704074,-53.7109375,-46.875,-36.1328125,-43.9453125,0.0
1741086551.2743127,-41.9921875,-37.59765625,-36.62109375,-39.55078125,0.0
1741086551.2782178,-41.9921875,-42.96875,-40.0390625,-44.43359375,0.0
1741086551.282123,-53.22265625,-54.19921875,-44.921875,-44.43359375,0.0
1741086551.2860281,-41.9921875,-49.8046875,-41.015625,-41.50390625,0.0
1741086551.2899334,-18.06640625,-56.15234375,-37.109375,-25.87890625,0.0
1741086551.2938387,-26.85546875,-51.26953125,-38.57421875,-31.73828125,0.0
