avg_mean,avg_variance,avg_skew,avg_kurtosis,file,action,n_channels,n_timepoints
-28.314971923828125,479.97025994118303,-0.020071773030875845,9.774986592954004,jaw_01.csv,raw,5,642
-26.3397216796875,406.77161794155836,-0.6389504811916032,5.804577523211916,jaw_02.csv,raw,5,642
-23.985443115234375,769.2657361039892,-0.05615218690397261,4.2007534681445104,jaw_03.csv,raw,5,641
-23.80462646484375,559.909945121035,0.2802943560248776,2.0442289710476125,jaw_04.csv,raw,5,641
-28.236541748046875,506.7247609840706,-0.07166899805902797,0.9775375025553449,jaw_05.csv,raw,5,642
-26.921844482421875,896.388373686932,-0.31546384385279586,4.738484968414184,jaw_06.csv,raw,5,642
-26.614837646484375,1824.4567891815677,-0.3471318198580371,7.184977873255722,jaw_07.csv,raw,5,642
-26.864013671875,662.5750761013478,-0.01868869166070549,0.7899699977710494,jaw_08.csv,raw,5,642
-29.688873291015625,891.8609741376713,-0.11270567722229327,1.6663400175552485,jaw_09.csv,raw,5,642
-28.967132568359375,1572.0876896521077,-0.5734642196535567,2.583591587817474,jaw_10.csv,raw,5,642
-27.835540771484375,1795.0332016916946,-0.529634483077422,3.6015394332354203,jaw_11.csv,raw,5,642
-27.613067626953125,526.8841231008992,0.11512866684438883,3.3047753381963654,jaw_12.csv,raw,5,642
-29.188385009765625,615.6648023752496,0.17774137818568908,3.6075157706723404,jaw_13.csv,raw,5,642
-28.44757080078125,487.1071211528033,0.24971206180788624,4.027024856039919,jaw_14.csv,raw,5,642
-29.410247802734375,589.116619550623,-0.05030769773131792,0.9424073033829587,jaw_15.csv,raw,5,642
-31.4239501953125,860.8614052645862,0.015199873233785549,1.5801446122406368,jaw_16.csv,raw,5,642
-28.044891357421875,400.9349354309961,0.0010288595943369443,2.439754407512675,jaw_17.csv,raw,5,642
-29.69635009765625,991.4140466134995,-0.20713389950148303,3.398451871263558,jaw_18.csv,raw,5,641
-27.875518798828125,854.2930312687531,-0.3956198872429421,2.7605128965074273,jaw_19.csv,raw,5,642
-28.66546630859375,495.87832973338664,0.1691607480094427,4.0716310481368065,jaw_20.csv,raw,5,642
-28.227081298828125,946.8018695479259,0.3724429783829975,4.2619461015176,jaw_21.csv,raw,5,642
-28.92852783203125,598.6267339903861,0.171614945677871,2.9751866758543777,jaw_22.csv,raw,5,642
-28.429718017578125,611.1942793941125,0.1623034391578052,3.6438218947263312,jaw_23.csv,raw,5,642
-28.22235107421875,293.85070060379803,0.05316953705972626,2.718918237790512,jaw_24.csv,raw,5,642
-27.07733154296875,677.1191502921283,0.26446073142732807,2.0787706285711893,jaw_25.csv,raw,5,642
-28.72161865234375,510.27431548573077,0.03296577367451863,3.704445934301729,jaw_26.csv,raw,5,641
-27.831573486328125,559.3670780071989,0.060188110093019886,3.8283726082819616,jaw_27.csv,raw,5,642
-26.31072998046875,412.9649691749364,0.08174007933035635,2.4035204241130392,jaw_28.csv,raw,5,642
-28.478546142578125,362.63699654955417,0.2728058086832529,4.084512539851694,jaw_29.csv,raw,5,641
-27.694091796875,1016.1752810236067,-0.12976759706858934,3.7996341584931863,jaw_30.csv,raw,5,641
-27.867279052734375,811.2801782554016,0.3763693564246787,5.3203174328652345,jaw_31.csv,raw,5,641
-27.74871826171875,789.2668026033789,-0.5922232630708234,8.500179906294376,jaw_32.csv,raw,5,641
-27.273712158203125,641.7070891475305,-0.12931011087157238,3.266810165414797,jaw_33.csv,raw,5,642
-28.647003173828125,708.177457912825,-0.2945587295764828,4.119824471965119,jaw_34.csv,raw,5,642
-27.85400390625,705.2059001289308,-0.10301461031086703,1.8483814028929915,jaw_35.csv,raw,5,642
-27.092742919921875,387.79892993625253,-0.10183165133931779,2.6880959332182304,jaw_36.csv,raw,5,642
